English word,French word,Frequency
project,projet,251
world,monde,905
library,bibliothèque,232
their,leur,2077
often,souvent,124
public,Publique,57
certain,certain,176
copyright,droits d'auteur,228
should,devrait,1580
version,version,222
complete,Achevée,246
works,travaux,249
provided,à condition de,253
college,Université,226
permission,autorisation,225
machine,machine,223
readable,lisible,224
copies,copies,446
distributed,distribué,443
others,autres,420
personal,personnel,234
prohibited,interdit,221
commercial,commercial,221
includes,comprend,223
service,un service,444
download,Télécharger,221
membership,adhésion,221
proud,fier,213
entertainment,divertissement,37
neither,ni,186
under,sous,298
welcome,Bienvenue,366
plain,plaine,121
since,depuis,449
these,celles-ci,1325
further,plus loin,190
below,au dessous de,54
number,nombre,55
letter,lettre,247
would,aurait,2301
about,sur,403
please,S'il vous plaît,396
midnight,minuit,43
month,mois,44
those,ceux,547
first,première,1172
least,moins,101
hours,heures,141
written,écrit,35
hundred,cent,115
which,lequel,2322
paper,papier,106
other,autre,712
point,point,147
general,général,216
small,petit,101
effect,effet,72
reputation,réputation,47
right,droite,352
subject,matière,105
either,Soit,172
although,bien que,79
request,demande,67
cannot,ne peux pas,762
party,fête,51
receive,recevoir,98
discover,découvrir,43
within,dans,494
money,argent,187
person,la personne,152
return,revenir,247
second,seconde,572
express,Express,47
particular,particulier,56
purpose,objectif,208
above,au dessus,147
cause,cause,338
freely,librement,55
think,pense,1074
write,écrire,125
desire,le désir,219
beauty,beauté,233
might,pourrait,500
never,jamais,1020
tender,soumissionner,149
memory,Mémoire,58
bright,brillant,72
light,lumière,270
making,fabrication,83
where,où,1347
sweet,sucré,807
cruel,cruel,72
fresh,Frais,90
spring,printemps,62
content,contenu,158
waste,déchets,44
grave,la tombe,184
shall,doit,3600
field,champ,192
youth,jeunesse,283
worth,vaut,205
being,étant,664
treasure,Trésor,53
shame,la honte,307
praise,louange,182
answer,répondre,426
child,enfant,242
count,compter,132
excuse,excuse,78
blood,du sang,667
glass,verre,68
another,un autre,455
whose,dont,618
repair,réparation,46
mother,mère,437
lovely,charmant,53
through,par,263
despite,malgré,52
golden,d'or,91
single,Célibataire,59
image,image,46
spend,dépenser,68
nature,la nature,385
nothing,rien,636
abuse,abuser de,47
given,donné,191
great,génial,921
having,ayant,156
alone,seul,237
leave,laisser,657
lives,vies,205
gentle,doux,372
frame,Cadre,46
every,chaque,492
dwell,habiter,41
summer,été,89
winter,hiver,73
there,Là,2210
quite,assez,86
walls,des murs,85
flowers,fleurs,46
though,bien que,634
substance,substance,41
still,encore,564
place,endroit,457
willing,prêt,40
breed,race,50
times,fois,208
could,pourrait,627
death,décès,900
depart,partir,66
living,vivant,121
burning,brûlant,51
sight,vue,201
looks,regards,214
sacred,sacré,47
majesty,majesté,270
strong,fort,196
mortal,mortel,98
weary,se lasser,78
feeble,faible,37
going,Aller,109
unless,sauf si,153
music,la musique,203
pleasure,plaisir,180
offend,offenser,60
chide,gronder,49
parts,les pièces,111
husband,mari,327
happy,heureux,204
prove,prouver,252
widow,veuve,123
behind,derrière,120
private,privé,66
shape,forme,87
toward,vers,103
grant,subvention,111
chief,chef,108
change,changement,156
thought,pensée,377
presence,présence,106
wisdom,sagesse,97
without,sans pour autant,368
folly,folie,80
cease,cesser,47
store,boutique,40
bounty,prime,42
meant,signifiait,53
tells,raconte,42
brave,courageux,160
night,nuit,816
behold,voir,163
barren,Dénudé,41
green,vert,114
borne,supporté,83
beard,barbe,96
question,question,156
themselves,se,159
hence,Par conséquent,368
longer,plus long,112
yours,le tiens,256
coming,venir,158
prepare,préparer,65
again,encore,769
after,après,420
issue,problème,111
house,maison,569
eternal,éternel,39
father,père,1076
stars,étoiles,71
pluck,cueillir,139
quality,qualité,55
fortune,fortune,362
brief,bref,91
thunder,tonnerre,71
heaven,paradis,654
knowledge,connaissance,78
constant,constant,49
truth,vérité,338
together,ensemble,257
thrive,prospérer,56
consider,considérer,58
thing,chose,359
holds,tient,82
little,peu,483
nought,néant,58
shows,montre,103
secret,secret,65
perceive,apercevoir,92
state,Etat,310
before,avant,839
tyrant,tyran,60
means,veux dire,264
stand,supporter,586
maiden,jeune fille,50
painted,peint,53
counterfeit,contrefaire,55
outward,vers l'extérieur,50
keeps,garde,76
drawn,tiré,90
skill,compétence,52
believe,croyez,240
knows,sait,213
faces,visages,53
tongue,langue,420
alive,vivant,90
twice,deux fois,72
rough,rugueux,72
shake,secouer,102
short,court,106
sometime,parfois,77
complexion,complexion,40
chance,chance,104
course,cours,157
blunt,cru,68
earth,Terre,317
teeth,les dents,56
fierce,féroce,40
sorry,Pardon,92
swift,rapide,70
forbid,interdire,74
wrong,faux,276
young,Jeune,467
woman,femme,419
master,Maître,844
mistress,maîtresse,453
passion,la passion,108
heart,cœur,1061
acquainted,connaissance,40
false,faux,299
fashion,mode,112
object,objet,39
souls,âmes,114
wrought,forgé,43
truly,vraiment,172
breast,Sein,98
elder,aîné,43
therefore,par conséquent,627
bearing,palier,73
nurse,infirmière,209
slain,tué,127
strength,force,124
trust,confiance,176
forget,oublier,95
perfect,parfait,55
plead,plaider,48
learn,apprendre,120
painter,peintre,45
table,table,60
wherein,où,132
hanging,pendaison,41
turns,se tourne,55
therein,la bride,56
cunning,ruse,76
grace,la grâce,597
favour,favoriser,137
triumph,triomphe,48
pride,fierté,111
buried,enterré,57
frown,froncer les sourcils,52
glory,gloire,88
fight,bats toi,283
merit,mérite,51
witness,témoin,128
naked,nu,52
apparel,vêtements,40
loving,aimant,118
respect,le respect,101
haste,hâte,162
limbs,membres,47
abide,respecter,37
intend,avoir l'intention,54
darkness,obscurité,39
blind,aveugle,85
shadow,ombre,81
jewel,bijou,60
